Agency,State,Months,Population,Violent_crime_total,Murder_and_Manslaughter,Forcible_rape,Robbery,Aggravated_assault,Property_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,lat,long
Mesquite Police Dept,TX,12,144811,442,2,14,183,243,6285,1568,4030,687,32.7668,96.5992
Midland Police Dept,TX,12,115637,398,4,21,52,321,3008,559,2313,136,31.9973,102.0779
Miramar Police Dept,FL,12,125998,537,2,31,163,341,2984,862,1901,221,25.9861,80.3036
Modesto Police Dept,CA,12,204631,1590,20,59,450,1061,11276,2571,6906,1799,37.6391,120.9963
Montgomery Police Dept,AL,12,209018,827,44,41,459,283,12058,3409,7548,1101,32.3668,86.3
Moreno Valley,CA,12,199673,706,5,25,331,345,6371,2018,3456,897,33.9425,117.2297
Murfreesboro Police Dept,TN,12,112247,701,3,55,134,509,4006,923,2899,184,35.8456,86.3903
City Of Murrieta Police Dept,CA,12,106839,70,1,8,21,40,1715,408,1177,130,33.5539,117.2139
Naperville Police Dept,IL,12,142840,119,3,7,24,85,2044,255,1748,41,41.7508,88.1535
New Haven Police Dept,CT,12,129934,1870,17,55,844,954,6516,1451,4351,714,41.3083,72.9279
Newport News Police Dept,VA,12,181591,754,20,50,271,413,5722,1029,4431,262,33.6189,117.9289
Norfolk Police Dept,VA,12,245303,1332,34,75,491,732,11391,2261,8403,727,36.8508,7602859
Norman Police Dept,OK,12,113969,173,1,52,54,66,3050,629,2252,169,35.2226,97.4395
North Charleston Police Dept,SC,12,100675,737,13,61,212,451,5757,854,4363,540,32.8546,79.9748
North Las Vegas Police Dept,NV,12,221884,1695,14,73,389,1219,5534,1557,3022,955,36.1989,115.1175
Norwalk,CA,12,107295,433,11,13,171,238,2609,539,1537,533,41.1177,73.4082
Oceanside,CA,12,171141,728,8,48,175,497,4289,841,3003,445,33.1959,117.3795
Odessa Police Dept,TX,12,103635,1103,5,43,141,914,3717,770,2565,382,31.8457,102.3676
Olathe Police Dept,KS,12,128560,191,0,38,24,129,2480,315,1988,177,38.8814,94.8191
Ontario Police Dept,CA,12,167933,534,3,36,266,229,5056,1058,3019,979,34.0633,117.6509
Orange Police Dept,CA,12,139692,135,4,8,54,69,2833,500,2044,289,33.7175,117.8311
Orlando Police Dept,FL,12,246513,2508,24,103,603,1778,16304,3778,11222,1304,28.5383,81.3792
City Of Overland Park Police Dept,KS,12,177085,285,2,40,42,201,4079,517,3238,324,38.9822,94.6708
Oxnard Police Dept,CA,12,201797,603,9,8,304,282,4071,848,2677,546,34.1978,119.1771
Palm Bay Police Dept,FL,12,104635,553,3,19,78,453,2457,719,1601,137,28.0345,80.5887
Palmdale,CA,12,155294,812,6,37,224,545,3393,1035,2068,290,34.5794,118.1165
Pasadena Police Dept,CA,12,139382,433,5,21,172,235,3379,891,2238,250,34.1478,118.1445
Pasadena Police Dept,TX,12,154562,622,8,52,147,415,5610,999,4087,524,29.6911,95.2091
Paterson Police Dept,NJ,12,147148,1552,21,22,854,655,4640,1619,2114,907,40.9168,74.1718
Pembroke Pines Police Dept,FL,12,159744,238,2,14,83,139,4238,846,3175,217,26.0078,80.2963
Peoria Police Dept,AZ,12,158347,296,9,24,77,186,4673,929,3478,266,33.5806,112.2374
Peoria Police Dept,IL,12,115288,919,10,25,324,560,5022,1420,3370,232,40.6936,89.589
Pomona Police Dept,CA,12,151511,1021,17,63,377,564,5055,901,3044,1110,34.0551,117.75
Pompano Beach Police Dept,FL,12,103003,1060,5,37,419,599,5562,1283,3876,403,26.2379,80.1248
City Of Port St Lucie Police Dept,FL,12,168416,395,4,47,55,289,3031,816,2124,91,27.273,80.3582
Providence Police Dept,RI,12,177882,1133,17,84,362,670,7977,1929,4884,1164,41.824,71.4128
Provo Police Dept,UT,12,116879,149,0,36,19,94,2465,301,2051,113,40.2338,111.6585
Pueblo Police Dept,CO,12,109065,797,8,21,199,569,7030,1895,4642,493,38.2544,104.6091
Rancho Cucamonga,CA,12,169276,321,4,16,112,189,4362,1460,2427,475,34.1064,117.5931
Reno Police Dept,NV,12,230486,1192,7,33,327,825,7423,1633,4909,881,39.5296,119.8138
Rialto Police Dept,CA,12,101595,509,4,17,201,287,3571,898,1798,875,34.1064,117.3703
Richardson Police Dept,TX,12,103266,171,2,27,80,62,3004,698,2175,131,32.9483,96.7299
Richmond Police Dept,CA,12,106357,1162,18,36,391,717,5018,1537,1615,1866,37.9358,122.3477
Richmond (City) Bureau Of Police,VA,12,207799,1348,42,38,633,635,9103,2030,6138,935,37.5407,77.436
Rochester Police Dept,MN,12,108582,0,2,0,55,104,2721,495,2137,89,44.0121,92.4802
Rochester Police Dept,NY,12,211993,2069,36,112,817,1104,11283,2978,7683,622,43.161,77.6109
Rockford Police Dept,IL,12,152293,2083,9,124,499,1451,7608,2224,5003,381,42.2711,89.094
Roseville Police Dept,CA,12,122896,293,2,15,84,192,3288,519,2536,233,38.7521,121.288
Round Rock Police Dept,TX,12,106232,141,0,32,45,64,2636,336,2222,78,30.5083,97.6789
Salem Police Dept,OR,12,157353,564,7,40,138,379,6731,1043,4958,730,42.5195,70.8967
Salinas Police Dept,CA,12,154413,1027,21,41,488,477,4906,1218,2606,1082,36.6777,121.6555
Salt Lake City Police Dept,UT,12,192465,1300,8,122,316,854,14357,1824,10827,1706,40.7608,111.891
San Bernardino Police Dept,CA,12,214987,2022,47,56,803,1116,10510,2809,4991,2710,34.1083,117.2889
Santa Clara Police Dept,CA,12,119360,221,0,10,61,150,3306,584,2273,449,37.3541,121.9552
Santa Clarita,CA,12,179248,342,1,30,96,215,2742,616,1822,304,37.3541,121.9552
Santa Maria Police Dept,CA,12,101207,690,0,21,145,524,2430,712,1318,400,34.953,120.4357
Santa Rosa Police Dept,CA,12,170862,636,2,67,126,441,3818,725,2777,316,38.4404,122.7141
Savannah Police Dept,GA,12,231285,878,23,25,491,339,8325,2083,5583,659,32.0835,81.0998
Scottsdale Police Dept,AZ,12,223432,329,3,42,115,169,6047,1255,4551,241,33.4942,111.9261
Shreveport Police Dept,LA,12,202164,1550,17,92,433,1008,9862,2425,6973,464,32.5252,93.7502
